Identifier,TypeID,Type,Package,Class,Member,Feature,Is_fprivate?,Is_inferred?,Parent_features,Is_terminal?,Is_hook?,Inferences
mixin.NoTransitionClause,2,Class,mixin,NoTransitionClause,,syntax,TRUE,FALSE,,FALSE,FALSE,AHEAD assigned initial feature and modifier
mixin.UmodSmExt,2,Class,mixin,UmodSmExt,,syntax,FALSE,FALSE,,TRUE,FALSE,AHEAD assigned initial feature and modifier
mixin.UnmodifiedTypeDeclaration,2,Class,mixin,UnmodifiedTypeDeclaration,,syntax,FALSE,FALSE,,FALSE,FALSE,AHEAD assigned initial feature and modifier
mixin.UmodSmDecl,2,Class,mixin,UmodSmDecl,,syntax,FALSE,FALSE,,TRUE,FALSE,AHEAD assigned initial feature and modifier
mixin.SmDeclaration,2,Class,mixin,SmDeclaration,,syntax,TRUE,FALSE,,FALSE,FALSE,AHEAD assigned initial feature and modifier
mixin.NewLA,2,Class,mixin,NewLA,,syntax,TRUE,FALSE,,TRUE,FALSE,AHEAD assigned initial feature and modifier
mixin.PrimType,2,Class,mixin,PrimType,,syntax,FALSE,FALSE,,TRUE,FALSE,AHEAD assigned initial feature and modifier
mixin.Dims,2,Class,mixin,Dims,,syntax,FALSE,FALSE,,TRUE,FALSE,AHEAD assigned initial feature and modifier
mixin.PrimitiveType,2,Class,mixin,PrimitiveType,,syntax,FALSE,FALSE,,FALSE,FALSE,AHEAD assigned initial feature and modifier
mixin.ThisLA,2,Class,mixin,ThisLA,,syntax,TRUE,FALSE,,TRUE,FALSE,AHEAD assigned initial feature and modifier
mixin.LeOp,2,Class,mixin,LeOp,,syntax,TRUE,FALSE,,TRUE,FALSE,AHEAD assigned initial feature and modifier
mixin.ReturnStm,2,Class,mixin,ReturnStm,,syntax,TRUE,FALSE,,TRUE,FALSE,AHEAD assigned initial feature and modifier
mixin.ReturnStatement,2,Class,mixin,ReturnStatement,,syntax,TRUE,FALSE,,FALSE,FALSE,AHEAD assigned initial feature and modifier
